source_image,yolo_element,spatial_description,matched_arch_page,matched_arch_text,similarity_score
poc_00001.jpg,dining table,gathering space social centre shared surface communal occupation,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.1522390834879528
poc_00001.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00005.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00005.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00010.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00012.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00012.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00014.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00014.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00020.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00027.jpg,backpack,human presence mobility informal occupation,Courtyard,"[ 3 ] However, courtyard houses have been found in harsher climates as well for centuries. The comforts offered by a courtyard—air, light, [ 4 ] privacy , security, and tranquility—are properties nearly universally desired in human housing.",0.03415293085724187
poc_00027.jpg,backpack,human presence mobility informal occupation,Courtyard,"[ 3 ] However, courtyard houses have been found in harsher climates as well for centuries. The comforts offered by a courtyard—air, light, [ 4 ] privacy , security, and tranquility—are properties nearly universally desired in human housing.",0.03415293085724187
poc_00034.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00037.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00037.jpg,backpack,human presence mobility informal occupation,Courtyard,"[ 3 ] However, courtyard houses have been found in harsher climates as well for centuries. The comforts offered by a courtyard—air, light, [ 4 ] privacy , security, and tranquility—are properties nearly universally desired in human housing.",0.03415293085724187
poc_00039.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00041.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00041.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00041.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00042.jpg,couch,resting zone domestic interior soft occupation,Atrium_(architecture),"The term was also used for a variety of spaces in public and religious buildings, mostly forms of arcaded courtyards, larger versions of the domestic spaces. Byzantine churches were often entered through such a space (as are many mosques , though the term atrium is not usually used to describe Islamic architecture ).",0.14246437036652337
poc_00042.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00042.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00042.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00043.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00045.jpg,clock,temporal marker rhythm waiting spatial orientation,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.03598972088576455
poc_00045.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00045.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00045.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00047.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00047.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00048.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00049.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00054.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00054.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00056.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00056.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00056.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00058.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00058.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00060.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00060.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00063.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00068.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00068.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00071.jpg,dining table,gathering space social centre shared surface communal occupation,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.1522390834879528
poc_00077.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00077.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00077.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00079.jpg,clock,temporal marker rhythm waiting spatial orientation,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.03598972088576455
poc_00081.jpg,clock,temporal marker rhythm waiting spatial orientation,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.03598972088576455
poc_00082.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00082.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00082.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00082.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00082.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00082.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00083.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00086.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00086.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00086.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00086.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00087.jpg,suitcase,movement transition travel threshold temporary occupation,Courtyard,"Convective cooling through transition spaces between multiple-courtyard buildings in the Middle East has also been observed. 2000 BC Ur , two-storey houses were constructed around an open square were built of fired brick.",0.08669568124544012
poc_00087.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00090.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00090.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00095.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00096.jpg,bench,public sitting area transitional space waiting zone urban furniture,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10014843215891926
poc_00097.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00097.jpg,vase,decorative object interior atmosphere spatial ornament,Arch,"An arch is a curved vertical structure spanning an open space underneath it. [ 1 ] Arches may support the load above them, or they may perform a purely decorative role.",0.10627133602282204
poc_00097.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00097.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00101.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00102.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00102.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00102.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00102.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00102.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00104.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00104.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00104.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00104.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00104.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00104.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00105.jpg,clock,temporal marker rhythm waiting spatial orientation,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.03598972088576455
poc_00112.jpg,potted plant,soft boundary interior landscape natural edge spatial atmosphere,Alley,"Apart from drinking alleys (drinking yokocho), shotengai and yokocho shotengais, there are the ordinary alleyways, the rojis which seem exist in all parts of the Japanese urban landscape. The roji which was once part of people's personal spatial sphere and everyday life has been transformed by diverse and competing interests.",0.08440954481972354
poc_00113.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00113.jpg,laptop,work surface digital occupation interior activity,Alley,"They are often also associated with criminal activity. [ 89 ] However, some narrow alleys are found in historic parts of older American and Canadian cities, like New York City , Philadelphia , Charleston, South Carolina , Boston , Annapolis , New Castle, Delaware , Quebec City , St John's, Newfoundland , [ 90 ] and Victoria, British Columbia .",0.0954650356578262
poc_00114.jpg,backpack,human presence mobility informal occupation,Courtyard,"[ 3 ] However, courtyard houses have been found in harsher climates as well for centuries. The comforts offered by a courtyard—air, light, [ 4 ] privacy , security, and tranquility—are properties nearly universally desired in human housing.",0.03415293085724187
poc_00114.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00114.jpg,backpack,human presence mobility informal occupation,Courtyard,"[ 3 ] However, courtyard houses have been found in harsher climates as well for centuries. The comforts offered by a courtyard—air, light, [ 4 ] privacy , security, and tranquility—are properties nearly universally desired in human housing.",0.03415293085724187
poc_00121.jpg,handbag,human presence temporary occupation personal object movement trace,Alley,"[ 20 ] Golden Gai was known for prostitution before 1958, when prostitution became illegal. Since then it has developed as a drinking area, and at least some of the bars can trace their origins back to the 1960s.",0.062039853114504405
poc_00123.jpg,chair,seating area resting zone human occupation interior furniture pause space,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.10740744933296581
poc_00123.jpg,dining table,gathering space social centre shared surface communal occupation,Courtyard,"With space at a premium, architects are experimenting with courtyards as a way to provide outdoor space for small communities of people at a time. A courtyard surrounded by 12 houses, for example, would provide a shared park-like space for those families, who could take pride in ownership of the space.",0.1522390834879528
